"Date","Price","Open","High","Low","Vol.","Change %"
"30-03-2009","3,667.79","3,667.79","3,667.79","3,667.79","","-4.20%"
"27-03-2009","3,828.51","3,828.51","3,828.51","3,828.51","","0.86%"
"26-03-2009","3,796.04","3,796.04","3,796.04","3,796.04","","3.28%"
"25-03-2009","3,675.43","3,675.43","3,675.43","3,675.43","","1.55%"
"24-03-2009","3,619.20","3,619.20","3,619.20","3,619.20","","4.70%"
"23-03-2009","3,456.79","3,456.79","3,456.79","3,456.79","","0.00%"
"20-03-2009","3,456.79","3,456.79","3,456.79","3,456.79","","0.00%"
"19-03-2009","3,456.95","3,456.95","3,456.95","3,456.95","","0.45%"
"18-03-2009","3,441.57","3,441.57","3,441.57","3,441.57","","1.35%"
"17-03-2009","3,395.69","3,395.69","3,395.69","3,395.69","","-0.71%"
"16-03-2009","3,420.13","3,420.13","3,420.13","3,420.13","","2.13%"
"13-03-2009","3,348.70","3,348.70","3,348.70","3,348.70","","3.89%"
"12-03-2009","3,223.30","3,223.30","3,223.30","3,223.30","","-0.10%"
"09-03-2009","3,226.63","3,226.63","3,226.63","3,226.63","","0.00%"
"06-03-2009","3,226.63","3,226.63","3,226.63","3,226.63","","1.69%"
"05-03-2009","3,173.11","3,173.11","3,173.11","3,173.11","","-2.59%"
"04-03-2009","3,257.46","3,257.46","3,257.46","3,257.46","","0.87%"
"03-03-2009","3,229.43","3,229.43","3,229.43","3,229.43","","-1.95%"
"02-03-2009","3,293.68","3,293.68","3,293.68","3,293.68","","-3.22%"
"27-02-2009","3,403.33","3,403.33","3,403.33","3,403.33","","-0.79%"
"26-02-2009","3,430.46","3,430.46","3,430.46","3,430.46","","0.84%"
"25-02-2009","3,401.93","3,401.93","3,401.93","3,401.93","","1.05%"
"24-02-2009","3,366.73","3,366.73","3,366.73","3,366.73","","-0.09%"
"20-02-2009","3,369.86","3,369.86","3,369.86","3,369.86","","-1.90%"
"19-02-2009","3,435.02","3,435.02","3,435.02","3,435.02","","0.48%"
"18-02-2009","3,418.72","3,418.72","3,418.72","3,418.72","","0.21%"
"17-02-2009","3,411.56","3,411.56","3,411.56","3,411.56","","-2.72%"
"16-02-2009","3,506.90","3,506.90","3,506.90","3,506.90","","-3.39%"
"13-02-2009","3,629.83","3,629.83","3,629.83","3,629.83","","1.91%"
"12-02-2009","3,561.72","3,561.72","3,561.72","3,561.72","","-1.11%"
"11-02-2009","3,601.57","3,601.57","3,601.57","3,601.57","","-0.30%"
"10-02-2009","3,612.41","3,612.41","3,612.41","3,612.41","","0.50%"
"09-02-2009","3,594.44","3,594.44","3,594.44","3,594.44","","2.70%"
"06-02-2009","3,499.89","3,499.89","3,499.89","3,499.89","","2.27%"
"05-02-2009","3,422.28","3,422.28","3,422.28","3,422.28","","-0.82%"
"04-02-2009","3,450.60","3,450.60","3,450.60","3,450.60","","0.70%"
"03-02-2009","3,426.68","3,426.68","3,426.68","3,426.68","","0.62%"
"02-02-2009","3,405.45","3,405.45","3,405.45","3,405.45","","-3.76%"
"30-01-2009","3,538.57","3,538.57","3,538.57","3,538.57","","1.85%"
"29-01-2009","3,474.27","3,474.27","3,474.27","3,474.27","","-0.79%"
"28-01-2009","3,502.03","3,502.03","3,502.03","3,502.03","","2.84%"
"27-01-2009","3,405.28","3,405.28","3,405.28","3,405.28","","3.46%"
"23-01-2009","3,291.24","3,291.24","3,291.24","3,291.24","","-1.30%"
"22-01-2009","3,334.55","3,334.55","3,334.55","3,334.55","","0.28%"
"21-01-2009","3,325.17","3,325.17","3,325.17","3,325.17","","-3.23%"
"20-01-2009","3,436.31","3,436.31","3,436.31","3,436.31","","-1.74%"
"19-01-2009","3,497.27","3,497.27","3,497.27","3,497.27","","0.63%"
"16-01-2009","3,475.45","3,475.45","3,475.45","3,475.45","","3.35%"
"15-01-2009","3,362.74","3,362.74","3,362.74","3,362.74","","-3.48%"
"14-01-2009","3,483.84","3,483.84","3,483.84","3,483.84","","3.30%"
"13-01-2009","3,372.70","3,372.70","3,372.70","3,372.70","","-1.02%"
"12-01-2009","3,407.29","3,407.29","3,407.29","3,407.29","","-3.48%"
"09-01-2009","3,530.00","3,530.00","3,530.00","3,530.00","","-1.62%"
"07-01-2009","3,588.27","3,588.27","3,588.27","3,588.27","","-6.18%"
"06-01-2009","3,824.63","3,824.63","3,824.63","3,824.63","","-0.28%"
"05-01-2009","3,835.29","3,835.29","3,835.29","3,835.29","","2.45%"
"02-01-2009","3,743.48","3,743.48","3,743.48","3,743.48","","0.44%"
"01-01-2009","3,727.18","3,727.18","3,727.18","3,727.18","","2.51%"
"31-12-2008","3,635.87","3,635.87","3,635.87","3,635.87","","-0.68%"
"30-12-2008","3,660.89","3,660.89","3,660.89","3,660.89","","1.96%"
"29-12-2008","3,590.46","3,590.46","3,590.46","3,590.46","","2.27%"
"26-12-2008","3,510.64","3,510.64","3,510.64","3,510.64","","-2.04%"
"24-12-2008","3,583.91","3,583.91","3,583.91","3,583.91","","-1.75%"
"23-12-2008","3,647.56","3,647.56","3,647.56","3,647.56","","-2.16%"
"22-12-2008","3,728.11","3,728.11","3,728.11","3,728.11","","-1.24%"
"19-12-2008","3,775.02","3,775.02","3,775.02","3,775.02","","0.55%"
"18-12-2008","3,754.43","3,754.43","3,754.43","3,754.43","","3.60%"
"17-12-2008","3,623.92","3,623.92","3,623.92","3,623.92","","-2.87%"
"16-12-2008","3,731.13","3,731.13","3,731.13","3,731.13","","2.03%"
"15-12-2008","3,656.85","3,656.85","3,656.85","3,656.85","","2.05%"
"12-12-2008","3,583.48","3,583.48","3,583.48","3,583.48","","-0.23%"
"11-12-2008","3,591.90","3,591.90","3,591.90","3,591.90","","0.00%"
"10-12-2008","3,591.90","3,591.90","3,591.90","3,591.90","","5.18%"
"08-12-2008","3,414.95","3,414.95","3,414.95","3,414.95","","2.56%"
"05-12-2008","3,329.57","3,329.57","3,329.57","3,329.57","","-2.64%"
"04-12-2008","3,419.88","3,419.88","3,419.88","3,419.88","","4.95%"
"03-12-2008","3,258.54","3,258.54","3,258.54","3,258.54","","-0.05%"
"02-12-2008","3,260.18","3,260.18","3,260.18","3,260.18","","-0.93%"
"01-12-2008","3,290.95","3,290.95","3,290.95","3,290.95","","-2.62%"
"28-11-2008","3,379.53","3,379.53","3,379.53","3,379.53","","0.10%"
"26-11-2008","3,376.05","3,376.05","3,376.05","3,376.05","","3.70%"
"25-11-2008","3,255.51","3,255.51","3,255.51","3,255.51","","-2.00%"
"24-11-2008","3,322.07","3,322.07","3,322.07","3,322.07","","0.55%"
"21-11-2008","3,303.91","3,303.91","3,303.91","3,303.91","","5.50%"
"20-11-2008","3,131.78","3,131.78","3,131.78","3,131.78","","-3.11%"
"19-11-2008","3,232.23","3,232.23","3,232.23","3,232.23","","-1.79%"
"18-11-2008","3,291.25","3,291.25","3,291.25","3,291.25","","-4.16%"
"17-11-2008","3,434.07","3,434.07","3,434.07","3,434.07","","-0.38%"
"14-11-2008","3,447.27","3,447.27","3,447.27","3,447.27","","-1.34%"
"12-11-2008","3,494.05","3,494.05","3,494.05","3,494.05","","-3.07%"
"11-11-2008","3,604.66","3,604.66","3,604.66","3,604.66","","-6.66%"
"10-11-2008","3,861.78","3,861.78","3,861.78","3,861.78","","8.84%"
"07-11-2008","3,548.22","3,548.22","3,548.22","3,548.22","","0.00%"
"06-11-2008","3,548.22","3,548.22","3,548.22","3,548.22","","-3.42%"
"05-11-2008","3,673.76","3,673.76","3,673.76","3,673.76","","-4.68%"
"04-11-2008","3,854.26","3,854.26","3,854.26","3,854.26","","3.23%"
"03-11-2008","3,733.72","3,733.72","3,733.72","3,733.72","","5.49%"
"31-10-2008","3,539.57","3,539.57","3,539.57","3,539.57","","6.99%"
"29-10-2008","3,308.29","3,308.29","3,308.29","3,308.29","","6.87%"
"28-10-2008","3,095.74","3,095.74","3,095.74","3,095.74","","0.00%"
"27-10-2008","3,095.74","3,095.74","3,095.74","3,095.74","","-2.32%"
"24-10-2008","3,169.11","3,169.11","3,169.11","3,169.11","","-12.20%"
"23-10-2008","3,609.55","3,609.55","3,609.55","3,609.55","","-3.98%"
"22-10-2008","3,759.15","3,759.15","3,759.15","3,759.15","","-5.23%"
"21-10-2008","3,966.69","3,966.69","3,966.69","3,966.69","","3.59%"
"20-10-2008","3,829.23","3,829.23","3,829.23","3,829.23","","1.58%"
"17-10-2008","3,769.83","3,769.83","3,769.83","3,769.83","","-5.96%"
"16-10-2008","4,008.87","4,008.87","4,008.87","4,008.87","","-2.05%"
"15-10-2008","4,092.67","4,092.67","4,092.67","4,092.67","","-5.12%"
"14-10-2008","4,313.68","4,313.68","4,313.68","4,313.68","","0.80%"
"13-10-2008","4,279.38","4,279.38","4,279.38","4,279.38","","6.42%"
"10-10-2008","4,021.03","4,021.03","4,021.03","4,021.03","","-6.65%"
"08-10-2008","4,307.52","4,307.52","4,307.52","4,307.52","","-2.58%"
"07-10-2008","4,421.47","4,421.47","4,421.47","4,421.47","","-5.55%"
"06-10-2008","4,681.04","4,681.04","4,681.04","4,681.04","","0.00%"
"03-10-2008","4,681.04","4,681.04","4,681.04","4,681.04","","-3.35%"
"01-10-2008","4,843.43","4,843.43","4,843.43","4,843.43","","0.75%"
"30-09-2008","4,807.20","4,807.20","4,807.20","4,807.20","","1.85%"
"29-09-2008","4,719.95","4,719.95","4,719.95","4,719.95","","-3.39%"
"26-09-2008","4,885.70","4,885.70","4,885.70","4,885.70","","-3.05%"
"25-09-2008","5,039.33","5,039.33","5,039.33","5,039.33","","-1.22%"
"24-09-2008","5,101.48","5,101.48","5,101.48","5,101.48","","-1.46%"
"23-09-2008","5,177.23","5,177.23","5,177.23","5,177.23","","0.00%"
"22-09-2008","5,177.23","5,177.23","5,177.23","5,177.23","","-0.52%"
"19-09-2008","5,204.46","5,204.46","5,204.46","5,204.46","","5.15%"
"18-09-2008","4,949.74","4,949.74","4,949.74","4,949.74","","0.75%"
"17-09-2008","4,913.11","4,913.11","4,913.11","4,913.11","","-1.64%"
"16-09-2008","4,994.80","4,994.80","4,994.80","4,994.80","","0.05%"
"15-09-2008","4,992.36","4,992.36","4,992.36","4,992.36","","-5.07%"
"12-09-2008","5,258.80","5,258.80","5,258.80","5,258.80","","0.00%"
"11-09-2008","5,258.80","5,258.80","5,258.80","5,258.80","","-2.50%"
"10-09-2008","5,393.61","5,393.61","5,393.61","5,393.61","","-1.53%"
"09-09-2008","5,477.25","5,477.25","5,477.25","5,477.25","","-0.29%"
"08-09-2008","5,493.30","5,493.30","5,493.30","5,493.30","","3.08%"
"05-09-2008","5,329.03","5,329.03","5,329.03","5,329.03","","-2.15%"
"04-09-2008","5,445.92","5,445.92","5,445.92","5,445.92","","-1.25%"
"02-09-2008","5,514.77","5,514.77","5,514.77","5,514.77","","3.57%"
"01-09-2008","5,324.55","5,324.55","5,324.55","5,324.55","","-0.24%"
"29-08-2008","5,337.28","5,337.28","5,337.28","5,337.28","","3.46%"
"28-08-2008","5,158.55","5,158.55","5,158.55","5,158.55","","-1.79%"
"27-08-2008","5,252.56","5,252.56","5,252.56","5,252.56","","-1.05%"
"26-08-2008","5,308.09","5,308.09","5,308.09","5,308.09","","0.05%"
"25-08-2008","5,305.47","5,305.47","5,305.47","5,305.47","","0.19%"
"22-08-2008","5,295.39","5,295.39","5,295.39","5,295.39","","1.02%"
"21-08-2008","5,242.06","5,242.06","5,242.06","5,242.06","","-2.97%"
"20-08-2008","5,402.60","5,402.60","5,402.60","5,402.60","","1.10%"
"19-08-2008","5,343.76","5,343.76","5,343.76","5,343.76","","-0.56%"
"18-08-2008","5,374.12","5,374.12","5,374.12","5,374.12","","-0.84%"
"14-08-2008","5,419.51","5,419.51","5,419.51","5,419.51","","-2.16%"
"13-08-2008","5,539.06","5,539.06","5,539.06","5,539.06","","-0.51%"
"12-08-2008","5,567.46","5,567.46","5,567.46","5,567.46","","-1.47%"
"11-08-2008","5,650.57","5,650.57","5,650.57","5,650.57","","2.01%"
"08-08-2008","5,539.39","5,539.39","5,539.39","5,539.39","","0.13%"
"07-08-2008","5,532.19","5,532.19","5,532.19","5,532.19","","0.14%"
"06-08-2008","5,524.49","5,524.49","5,524.49","5,524.49","","0.33%"
"05-08-2008","5,506.51","5,506.51","5,506.51","5,506.51","","2.45%"
"04-08-2008","5,375.02","5,375.02","5,375.02","5,375.02","","-0.39%"
"01-08-2008","5,396.00","5,396.00","5,396.00","5,396.00","","1.86%"
"31-07-2008","5,297.47","5,297.47","5,297.47","5,297.47","","0.49%"
"30-07-2008","5,271.75","5,271.75","5,271.75","5,271.75","","2.95%"
"29-07-2008","5,120.56","5,120.56","5,120.56","5,120.56","","-3.28%"
"28-07-2008","5,294.39","5,294.39","5,294.39","5,294.39","","0.47%"
"25-07-2008","5,269.68","5,269.68","5,269.68","5,269.68","","-2.74%"
"24-07-2008","5,418.38","5,418.38","5,418.38","5,418.38","","-0.96%"
"23-07-2008","5,471.01","5,471.01","5,471.01","5,471.01","","5.58%"
"22-07-2008","5,181.77","5,181.77","5,181.77","5,181.77","","1.95%"
"21-07-2008","5,082.83","5,082.83","5,082.83","5,082.83","","1.64%"
"18-07-2008","5,000.66","5,000.66","5,000.66","5,000.66","","3.72%"
"17-07-2008","4,821.47","4,821.47","4,821.47","4,821.47","","3.43%"
"16-07-2008","4,661.66","4,661.66","4,661.66","4,661.66","","-1.10%"
"15-07-2008","4,713.68","4,713.68","4,713.68","4,713.68","","-4.42%"
"14-07-2008","4,931.72","4,931.72","4,931.72","4,931.72","","-0.23%"
"11-07-2008","4,943.11","4,943.11","4,943.11","4,943.11","","-2.72%"
"10-07-2008","5,081.30","5,081.30","5,081.30","5,081.30","","0.16%"
"09-07-2008","5,073.06","5,073.06","5,073.06","5,073.06","","4.23%"
"08-07-2008","4,867.38","4,867.38","4,867.38","4,867.38","","-1.03%"
"07-07-2008","4,917.92","4,917.92","4,917.92","4,917.92","","0.35%"
"04-07-2008","4,900.85","4,900.85","4,900.85","4,900.85","","2.31%"
"03-07-2008","4,790.37","4,790.37","4,790.37","4,790.37","","-4.09%"
"02-07-2008","4,994.44","4,994.44","4,994.44","4,994.44","","5.05%"
"01-07-2008","4,754.56","4,754.56","4,754.56","4,754.56","","-3.56%"
"30-06-2008","4,929.98","4,929.98","4,929.98","4,929.98","","-2.32%"
"27-06-2008","5,047.27","5,047.27","5,047.27","5,047.27","","-4.11%"
"26-06-2008","5,263.74","5,263.74","5,263.74","5,263.74","","1.49%"
"25-06-2008","5,186.64","5,186.64","5,186.64","5,186.64","","1.47%"
"24-06-2008","5,111.57","5,111.57","5,111.57","5,111.57","","-1.77%"
"23-06-2008","5,203.42","5,203.42","5,203.42","5,203.42","","-1.87%"
"20-06-2008","5,302.42","5,302.42","5,302.42","5,302.42","","-3.48%"
"19-06-2008","5,493.52","5,493.52","5,493.52","5,493.52","","-1.71%"
"18-06-2008","5,588.82","5,588.82","5,588.82","5,588.82","","-1.50%"
"17-06-2008","5,674.15","5,674.15","5,674.15","5,674.15","","1.76%"
"16-06-2008","5,575.95","5,575.95","5,575.95","5,575.95","","1.24%"
"13-06-2008","5,507.44","5,507.44","5,507.44","5,507.44","","-0.49%"
"12-06-2008","5,534.58","5,534.58","5,534.58","5,534.58","","0.35%"
"11-06-2008","5,515.36","5,515.36","5,515.36","5,515.36","","1.66%"
"10-06-2008","5,425.39","5,425.39","5,425.39","5,425.39","","-1.14%"
"09-06-2008","5,487.73","5,487.73","5,487.73","5,487.73","","-2.74%"
"06-06-2008","5,642.43","5,642.43","5,642.43","5,642.43","","-1.05%"
"05-06-2008","5,702.34","5,702.34","5,702.34","5,702.34","","1.99%"
"04-06-2008","5,590.94","5,590.94","5,590.94","5,590.94","","-2.76%"
"03-06-2008","5,749.83","5,749.83","5,749.83","5,749.83","","-0.50%"
"02-06-2008","5,778.70","5,778.70","5,778.70","5,778.70","","-2.68%"
"30-05-2008","5,937.81","5,937.81","5,937.81","5,937.81","","0.72%"
"29-05-2008","5,895.41","5,895.41","5,895.41","5,895.41","","-1.60%"
"28-05-2008","5,991.15","5,991.15","5,991.15","5,991.15","","1.21%"
"27-05-2008","5,919.80","5,919.80","5,919.80","5,919.80","","-0.31%"
"26-05-2008","5,938.40","5,938.40","5,938.40","5,938.40","","-1.44%"
"23-05-2008","6,025.43","6,025.43","6,025.43","6,025.43","","-1.57%"
"22-05-2008","6,121.51","6,121.51","6,121.51","6,121.51","","-1.80%"
"21-05-2008","6,233.83","6,233.83","6,233.83","6,233.83","","0.25%"
"20-05-2008","6,217.98","6,217.98","6,217.98","6,217.98","","-1.02%"
"16-05-2008","6,282.21","6,282.21","6,282.21","6,282.21","","0.83%"
"15-05-2008","6,230.52","6,230.50","6,230.50","6,230.50","","2.06%"
"14-05-2008","6,104.47","6,104.47","6,104.47","6,104.47","","1.09%"
"13-05-2008","6,038.76","6,038.76","6,038.76","6,038.76","","-1.09%"
"12-05-2008","6,105.53","6,105.53","6,105.53","6,105.53","","0.60%"
"09-05-2008","6,068.94","6,068.94","6,068.94","6,068.94","","-1.95%"
"08-05-2008","6,189.65","6,189.65","6,189.65","6,189.65","","-1.00%"
"07-05-2008","6,252.05","6,252.05","6,252.05","6,252.05","","-0.18%"
"06-05-2008","6,263.17","6,263.17","6,263.17","6,263.17","","-0.92%"
"05-05-2008","6,321.13","6,321.13","6,321.13","6,321.13","","-0.69%"
"02-05-2008","6,364.89","6,364.89","6,364.89","6,364.89","","1.21%"
"30-04-2008","6,289.07","6,289.07","6,289.07","6,289.07","","-0.57%"
"29-04-2008","6,325.09","6,325.09","6,325.09","6,325.09","","2.09%"
"28-04-2008","6,195.76","6,195.76","6,195.76","6,195.76","","-0.43%"
"25-04-2008","6,222.55","6,222.55","6,222.55","6,222.55","","2.24%"
"24-04-2008","6,086.43","6,086.43","6,086.43","6,086.43","","-0.46%"
"23-04-2008","6,114.37","6,114.37","6,114.37","6,114.37","","-0.52%"
"22-04-2008","6,146.63","6,146.63","6,146.63","6,146.63","","0.24%"
"21-04-2008","6,131.62","6,131.62","6,131.62","6,131.62","","1.59%"
"17-04-2008","6,035.71","6,035.71","6,035.71","6,035.71","","1.45%"
"16-04-2008","5,949.20","5,949.20","5,949.20","5,949.20","","0.16%"
"15-04-2008","5,939.87","5,939.87","5,939.87","5,939.87","","2.13%"
"11-04-2008","5,815.89","5,815.89","5,815.89","5,815.89","","0.95%"
"10-04-2008","5,761.35","5,761.35","5,761.35","5,761.35","","-0.29%"
"09-04-2008","5,778.16","5,778.16","5,778.16","5,778.16","","0.79%"
"08-04-2008","5,732.64","5,732.64","5,732.64","5,732.64","","-1.08%"
"07-04-2008","5,795.39","5,795.39","5,795.39","5,795.39","","2.46%"
"04-04-2008","5,656.40","5,656.40","5,656.40","5,656.40","","-2.61%"
"03-04-2008","5,808.01","5,808.01","5,808.01","5,808.01","","0.37%"
"02-04-2008","5,786.85","5,786.85","5,786.85","5,786.85","","0.31%"
"01-04-2008","5,769.05","5,769.05","5,769.05","5,769.05","","0.11%"
"31-03-2008","5,762.88","5,762.88","5,762.88","5,762.88","","-4.20%"
"28-03-2008","6,015.47","6,015.47","6,015.47","6,015.47","","2.31%"
"27-03-2008","5,879.40","5,879.40","5,879.40","5,879.40","","0.03%"
"26-03-2008","5,877.72","5,877.72","5,877.72","5,877.72","","-1.00%"
"25-03-2008","5,936.92","5,936.92","5,936.92","5,936.92","","5.81%"
"24-03-2008","5,611.17","5,611.17","5,611.17","5,611.17","","0.79%"
"19-03-2008","5,567.43","5,567.43","5,567.43","5,567.43","","0.90%"
"18-03-2008","5,517.59","5,517.59","5,517.59","5,517.59","","-4.47%"
